uri,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated
https://shakespeareandco.princeton.edu/books/sitwell-england-reclaimed/,England Reclaimed,"Sitwell, Osbert",,,,,,1927,Book,False,,,,2,2,0,1930;1927,2020-06-01T22:40:52+00:00
https://shakespeareandco.princeton.edu/books/feiling-england-tudors-stuarts/,"England under the Tudors and Stuarts, 1485 – 1688","Feiling, Keith",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.113484/mode/2up,,,1,0,0,1933,2020-06-25T15:41:48+00:00
https://shakespeareandco.princeton.edu/books/huxley-essays-popular-science/,Essays in Popular Science,"Huxley, Julian",,,,,,1927,Book,False,https://archive.org/details/dli.ernet.14966,,,1,1,0,1927,2021-06-05T15:19:48+00:00
https://shakespeareandco.princeton.edu/books/ranga-iyer-father-india-reply/,Father India: A Reply to Mother India,"Ranga Iyer, C. S.",,,,,,1927,Book,False,https://archive.org/details/FatherIndia_1927,,,2,2,0,1928;1937,2021-06-06T00:16:16+00:00
https://shakespeareandco.princeton.edu/books/henderson-five-roman-emperors/,"Five Roman Emperors: Vespasian, Titus, Domitian, Nerva, Trajan, A.D. 69 – 117","Henderson, Bernard W.",,,,,,1927,Book,False,,,,1,1,0,1928,2020-07-19T20:31:56+00:00
https://shakespeareandco.princeton.edu/books/borden-flamingo-novel/,Flamingo: A Novel,"Borden, Mary",,,,,,1927,Book,False,,,,2,2,0,1928;1927,2020-06-29T13:30:26+00:00
https://shakespeareandco.princeton.edu/books/tomlinson-gallions-reach/,Gallions Reach,"Tomlinson, H. M.",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.459515,,,7,6,0,1927;1928;1932;1933;1935,2021-06-18T02:15:27+00:00
https://shakespeareandco.princeton.edu/books/lamb-genghis-khan-emperor/,Genghis Khan: Emperor of All Men,"Lamb, Harold",,,,,,1927,Book,False,https://archive.org/details/genghiskhantheem035122mbp,,,4,4,0,1937;1932;1934,2021-06-18T02:40:05+00:00
https://shakespeareandco.princeton.edu/books/ludwig-genius-character/,Genius and Character,"Ludwig, Emil",,"Burke, Kenneth",,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.16344/page/n5/mode/2up,,,3,3,0,1928;1927,2021-06-18T02:41:23+00:00
https://shakespeareandco.princeton.edu/books/waugh-georgian-stories-1926/,"Georgian Stories, 1926",,"Waugh, Alec",,,,,1927,Book,False,,,,1,1,0,1931,2020-06-14T02:03:25+00:00
https://shakespeareandco.princeton.edu/books/garnett-go-must/,Go She Must!,"Garnett, David",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.219879,,,3,3,0,1927,2021-06-18T03:36:33+00:00
https://shakespeareandco.princeton.edu/books/kelley-home-james/,"Home, James","Kelley, Ethel",,,,,,1927,Book,False,,,,1,1,0,1927,2020-04-30T19:40:21+00:00
https://shakespeareandco.princeton.edu/books/huddleston-paris/,In and About Paris,"Huddleston, Sisley",,,,,,1927,Book,False,,,,3,3,0,1938;1931;1939,2020-06-28T19:47:22+00:00
https://shakespeareandco.princeton.edu/books/stern-jack-amanory/,Jack A'Manory,"Stern, G. B.",,,,,,1927,Book,False,,,,3,3,0,1928;1932;1927,2020-06-28T19:47:53+00:00
https://shakespeareandco.princeton.edu/books/de-la-roche-jalna/,Jalna,"De la Roche, Mazo",,,,,,1927,Book,False,https://archive.org/details/jalna00dela/page/n7/mode/2up,,,16,15,1,1928;1934;1936;1939;1940;1941;1944;1945,2021-07-16T02:33:35+00:00
https://shakespeareandco.princeton.edu/books/thurston-jane-carroll/,Jane Carroll,"Thurston, Ernest Temple",,,,,,1927,Book,False,,,,1,1,0,1927,2020-04-30T19:40:17+00:00
https://shakespeareandco.princeton.edu/books/walpole-jeremy-crale/,Jeremy at Crale,"Walpole, Hugh",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.209339,,,4,4,0,1928;1940;1927,2021-07-16T02:44:00+00:00
